%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1753722633617949062,158731,1753722633617949062,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010120671846984218,0.024143508333390573,0.002521615591615974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38534885212860115,0.46966808561615003,9.932580278775943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633622813014,158732,1753722633622813014,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016394362925222863,0.022278179715026266,0.0020161763678065887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31454656295379646,0.6056743022238161,9.460617171303408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633627932785,158733,1753722633627932785,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013057913662006026,0.020007691892891623,0.0014674769599138866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20764851143493657,0.536216237571106,9.063885087381594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633632925935,158734,1753722633632925935,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031922755501959505,0.017046864985437487,0.001036468979048338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13682527299560548,0.4454831174011231,8.772583948056337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633638897129,158735,1753722633638897129,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006460539887506633,0.012155296639530003,0.0005806573090157203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04264390388458253,0.37883363086090094,8.74521175873627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633643888189,158736,1753722633643888189,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011478329837584463,0.007599140992227281,0.0002503732079270366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008924386688232424,0.3209559006530762,8.897345856422122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633648883739,158737,1753722633648883739,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01849822176669147,0.004153889602005261,-0.0001488503806220963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010804014556579592,0.26008883010742195,9.196344294229739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633653972208,158738,1753722633653972208,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02555386861522412,0.002521647872324179,-0.0001204958135524693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10125928762390139,0.1633600902850342,9.590083207091068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633658826482,158739,1753722633658826482,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02443366347909183,0.00233915292357535,0.0004635509698247831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23174010578521734,0.13822821531341556,9.928504509579774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633663825655,158740,1753722633663825655,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01592860476197456,0.0006903754011162223,0.0008718736829992197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33195749670166025,0.1990037675006104,10.123901232714235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
